# ingest sink, старт 2026-08-23T13:30:49
elapsed_s,water_ml,event,v12a_raw,v12a_mv,v12b_raw,v12b_mv,v20a_raw,v20a_mv,v20b_raw,v20b_mv,air_t,air_h
248.4,0.0,,1017,873,1033,886,37,27,101,82,,
249.4,0.0,,1013,871,1031,887,35,25,106,85,,
250.4,0.0,,1014,871,1035,886,42,30,103,82,,
251.4,0.0,,1015,872,1033,886,36,26,110,89,,
252.4,0.0,,1013,872,1032,887,32,23,39,27,,
253.4,0.0,,1014,872,1033,887,10,6,38,27,,
254.4,0.0,,1014,872,1032,887,45,33,111,90,,
255.4,0.0,,1016,873,1034,887,10,6,39,28,,
256.4,0.0,,1013,872,1031,887,12,7,45,33,,
257.4,0.0,,1013,873,1032,887,46,33,117,95,,
258.4,0.0,,1013,872,1032,887,44,33,120,97,,
259.4,0.0,,1016,873,1034,886,40,29,119,96,,
260.4,0.0,,1016,872,1035,887,11,6,47,34,,
261.4,0.0,,1015,872,1032,887,43,31,125,101,,
262.4,0.0,,1013,870,1031,885,43,31,124,100,,
263.4,0.0,,1014,873,1032,885,50,36,125,100,,
264.4,0.0,,1012,871,1033,887,59,45,117,94,,
265.4,0.0,,1015,871,1030,887,50,37,113,91,,
266.4,0.0,,1012,872,1033,886,12,7,54,40,,
267.4,0.0,,1015,872,1033,886,55,42,122,98,,
268.4,0.0,,1013,872,1031,887,57,43,122,97,,
269.4,0.0,,1015,871,1033,888,32,24,57,42,,
270.4,0.0,,1013,872,1034,887,13,8,56,41,,
271.4,0.0,,1012,872,1034,886,14,8,56,41,,
272.4,0.0,,1014,871,1033,885,51,38,124,99,,
273.4,0.0,,1014,870,1032,887,64,51,125,100,,
274.4,0.0,,1011,871,1032,888,50,37,123,98,,
275.4,0.0,,1014,870,1030,886,52,39,120,96,,
276.4,0.0,,1013,871,1034,885,59,46,119,95,,
277.4,0.0,,1014,871,1032,887,16,10,58,42,,
280.8,0.0,,1013,871,1032,886,58,45,109,86,,
281.8,0.0,,1014,871,1035,888,46,34,105,83,,
282.8,0.0,,1015,871,1033,886,45,33,105,83,,
283.8,0.0,,1015,871,1034,887,15,9,45,33,,
284.8,0.0,,1015,872,1035,886,14,9,44,31,,
285.8,0.0,,1015,871,1032,887,14,9,46,33,,
286.8,0.0,,1015,873,1033,886,42,31,101,79,,
287.8,0.0,,1014,872,1033,887,46,35,96,75,,
288.8,0.0,,1014,871,1032,886,39,28,96,75,,
289.8,0.0,,1015,872,1032,885,15,8,96,76,,
290.8,0.0,,1014,870,1033,888,35,25,97,78,,
291.8,0.0,,1013,872,1031,887,37,27,96,77,,
292.8,0.0,,1014,872,1034,889,34,25,96,77,,
293.8,0.0,,1013,871,1033,886,36,27,99,80,,
294.8,0.0,,1016,872,1032,888,12,7,34,24,,
295.8,0.0,,1014,871,1031,887,33,24,103,83,,
296.8,0.0,,1016,870,1033,886,33,24,103,83,,
297.8,0.0,,1014,873,1031,887,35,26,112,91,,
298.8,0.0,,1015,872,1034,886,35,25,99,79,,
299.8,0.0,,1015,873,1033,887,37,27,115,93,,
300.8,0.0,,1014,871,1034,888,37,27,118,95,,
301.8,0.0,,1013,872,1032,885,38,28,117,95,,
302.8,0.0,,1013,872,1031,886,31,24,44,32,,
303.8,0.0,,1014,872,1033,886,11,7,46,33,,
304.8,0.0,,1015,871,1034,887,51,40,118,95,,
305.8,0.0,,1013,871,1033,887,45,33,126,101,,
306.8,0.0,,1015,872,1033,888,12,7,54,40,,
307.8,0.0,,1015,872,1034,887,12,8,57,42,,
308.8,0.0,,1016,871,1032,888,58,45,120,96,,
309.8,0.0,,1015,872,1033,886,58,45,119,96,,
310.8,0.0,,1015,870,1033,887,54,42,124,99,,
311.8,0.0,,1015,870,1035,887,14,8,58,42,,
312.8,0.0,,1014,873,1033,886,53,40,115,92,,
313.8,0.0,,1015,872,1033,885,59,46,113,90,,
314.8,0.0,,1013,871,1031,887,51,38,107,85,,
315.8,0.0,,1014,869,1032,887,50,38,94,74,,
316.8,0.0,,1014,872,1031,886,18,11,49,35,,
317.8,0.0,,1012,872,1032,886,47,36,104,82,,
318.8,0.0,,1013,870,1034,888,47,36,98,77,,
319.8,0.0,,1015,871,1034,886,14,9,43,31,,
320.8,0.0,,1016,871,1034,886,54,41,97,76,,
321.8,0.0,,1015,870,1034,886,15,9,38,27,,
322.8,0.0,,1014,871,1034,887,37,26,98,78,,
323.8,0.0,,1015,872,1032,886,46,35,99,79,,
324.8,0.0,,1015,871,1035,887,41,30,96,76,,
325.8,0.0,,1014,871,1033,886,34,24,97,78,,
326.8,0.0,,1013,871,1032,888,32,23,95,75,,
327.8,0.0,,1015,871,1033,886,36,26,101,82,,
328.8,0.0,,1013,871,1032,887,33,24,99,78,,
329.8,0.0,,1015,871,1031,887,33,23,100,80,,
330.8,0.0,,1014,872,1034,887,10,5,37,26,,
331.8,0.0,,1015,871,1034,887,34,24,107,86,,
332.8,0.0,,1013,873,1033,888,43,31,38,27,,
333.8,0.0,,1013,871,1032,887,35,25,106,85,,
334.8,0.0,,1013,871,1030,888,35,25,110,88,,
335.8,0.0,,1016,871,1033,887,44,32,112,91,,
336.8,0.0,,1015,873,1032,886,11,6,46,33,,
337.8,0.0,,1015,871,1031,886,47,34,119,96,,
338.8,0.0,,1014,870,1031,886,49,36,121,97,,
339.8,0.0,,1014,873,1032,887,11,6,46,34,,
340.8,0.0,,1017,874,1032,886,55,43,129,105,,
341.8,0.0,,1015,873,1031,887,42,30,127,102,,
342.8,0.0,,1015,872,1032,888,44,32,126,100,,
343.8,0.0,,1014,872,1030,887,46,33,126,101,,
344.8,0.0,,1014,871,1032,885,47,36,125,100,,
345.8,0.0,,1014,871,1033,885,49,36,124,98,,
346.8,0.0,,1014,870,1031,885,50,37,122,97,,
347.8,0.0,,1015,871,1030,887,59,45,112,89,,
348.8,0.0,,1011,871,1031,885,14,9,57,42,,
349.8,0.0,,1016,871,1033,886,50,39,57,41,,
350.8,0.0,,1013,871,1034,886,17,11,52,38,,
351.8,0.0,,1013,872,1034,886,56,43,105,82,,
352.8,0.0,,1015,872,1035,887,16,10,47,34,,
353.8,0.0,,1013,872,1031,887,17,10,104,81,,
354.8,0.0,,1013,872,1033,888,15,9,46,33,,
355.8,0.0,,1012,870,1034,888,50,38,98,77,,
356.8,0.0,,1014,872,1033,888,42,31,97,76,,
357.8,0.0,,1013,872,1033,888,42,31,100,79,,
358.8,0.0,,1014,872,1035,886,37,27,98,78,,
359.8,0.0,,1012,871,1034,886,43,31,96,76,,
360.8,0.0,,1014,871,1033,886,41,30,96,75,,
361.8,0.0,,1016,871,1033,887,36,26,99,78,,
362.8,0.0,,1015,871,1034,889,39,28,90,72,,
363.8,0.0,,1013,872,1033,889,35,25,95,76,,
364.8,0.0,,1016,871,1032,886,32,22,100,80,,
365.8,0.0,,1013,871,1032,886,40,28,100,79,,
366.8,0.0,,1014,872,1032,886,35,26,38,26,,
367.8,0.0,,1015,871,1032,887,39,28,107,86,,
368.8,0.0,,1012,871,1032,888,38,28,108,87,,
369.8,0.0,,1015,870,1035,885,45,33,113,91,,
370.8,0.0,,1012,872,1031,886,16,9,118,95,,
371.8,0.0,,1013,871,1032,886,40,29,121,97,,
372.8,0.0,,1014,871,1031,885,50,37,123,99,,
373.8,0.0,,1014,871,1032,887,43,31,127,102,,
374.8,0.0,,1015,873,1033,887,33,22,128,103,,
375.8,0.0,,1013,870,1033,885,55,43,121,97,,
376.8,0.0,,1013,870,1032,887,54,41,123,99,,
377.8,0.0,,1013,868,1034,887,48,36,124,99,,
378.8,0.0,,1015,870,1031,888,53,40,122,97,,
379.8,0.0,,1014,872,1032,888,48,36,111,89,,
380.8,0.0,,1013,870,1031,887,48,36,119,95,,
381.8,0.0,,1013,872,1032,885,48,36,117,94,,
382.8,0.0,,1016,872,1032,885,49,36,115,91,,
383.8,0.0,,1014,871,1032,887,15,9,58,42,,
384.8,0.0,,1012,870,1034,887,47,35,110,86,,
385.8,0.0,,1012,871,1032,886,54,41,107,85,,
386.8,0.0,,1012,871,1033,887,15,10,49,35,,
387.8,0.0,,1014,872,1031,886,46,36,103,81,,
388.8,0.0,,1017,870,1030,886,49,36,101,80,,
389.8,0.0,,1014,872,1033,888,48,36,98,77,,
390.8,0.0,,1012,870,1033,886,41,30,98,78,,
391.8,0.0,,1013,871,1033,886,40,30,99,79,,
392.8,0.0,,1015,872,1033,886,38,27,96,76,,
393.8,0.0,,1014,872,1031,886,43,31,95,75,,
394.8,0.0,,1014,874,1034,888,37,27,94,75,,
395.8,0.0,,1016,872,1033,886,33,24,93,75,,
396.8,0.0,,1016,870,1033,886,31,23,53,41,,
397.8,0.0,,1014,871,1034,887,39,28,99,79,,
398.8,0.0,,1015,873,1032,888,33,23,102,82,,
399.8,0.0,,1013,872,1035,884,33,24,101,81,,
400.8,0.0,,1013,872,1033,887,12,7,109,89,,
401.8,0.0,,1014,870,1032,887,11,6,39,28,,
402.8,0.0,,1015,871,1033,886,35,25,110,88,,
403.8,0.0,,1013,871,1031,888,36,26,117,95,,
404.8,0.0,,1013,872,1035,886,43,32,126,102,,
405.8,0.0,,1016,870,1032,886,39,28,123,99,,
406.8,0.0,,1015,871,1031,885,38,28,120,96,,
407.8,0.0,,1015,871,1033,887,48,36,120,96,,
408.8,0.0,,1014,871,1031,887,53,41,125,101,,
409.8,0.0,,1014,872,1032,886,42,30,124,100,,
410.8,0.0,,1015,871,1029,885,52,39,125,100,,
411.8,0.0,,1013,872,1030,886,53,39,120,95,,
412.8,0.0,,1016,870,1031,887,53,39,124,99,,
413.8,0.0,,1014,872,1031,886,43,32,55,40,,
414.8,0.0,,1014,872,1031,887,54,40,125,100,,
415.8,0.0,,1014,871,1033,887,13,8,54,40,,
416.8,0.0,,1012,871,1032,886,48,36,124,99,,
417.8,0.0,,1015,871,1031,885,14,9,125,100,,
418.8,0.0,,1014,871,1033,885,56,42,122,97,,
419.8,0.0,,1014,872,1034,886,14,9,58,43,,
420.8,0.0,,1012,870,1032,886,57,44,121,96,,
421.8,0.0,,1014,871,1031,887,58,46,124,99,,
422.8,0.0,,1014,871,1034,886,49,36,124,98,,
423.8,0.0,,1012,871,1033,885,15,9,58,42,,
424.8,0.0,,1014,871,1034,887,52,40,126,100,,
425.8,0.0,,1015,871,1033,886,56,44,126,101,,
426.8,0.0,,1016,870,1033,888,50,38,125,100,,
427.8,0.0,,1016,871,1032,885,59,47,120,96,,
428.8,0.0,,1013,871,1033,889,16,10,57,42,,
429.8,0.0,,1014,870,1032,887,50,37,120,96,,
430.8,0.0,,1015,871,1033,887,51,39,62,45,,
431.8,0.0,,1014,871,1033,887,14,9,56,42,,
432.8,0.0,,1015,871,1033,888,14,9,55,40,,
433.8,0.0,,1015,871,1034,886,16,10,53,39,,
434.8,0.0,,1014,872,1034,887,25,15,113,89,,
435.8,0.0,,1015,871,1032,886,50,37,113,90,,
436.8,0.0,,1015,872,1032,887,49,37,106,84,,
437.8,0.0,,1015,872,1034,887,47,35,105,83,,
438.8,0.0,,1014,871,1034,886,16,10,46,33,,
439.8,0.0,,1015,873,1032,885,46,33,103,81,,
440.8,0.0,,1015,872,1034,887,43,32,103,81,,
441.8,0.0,,1014,873,1034,888,44,32,96,75,,
442.8,0.0,,1016,871,1033,887,41,30,99,79,,
443.8,0.0,,1013,870,1034,885,42,30,91,73,,
